Leto;Vrsta;Stevilo udelezenk;Stevilo sportnikov;Razseznost;Stevilo sportov;Stevilo dogodkov;Najvec medalj
1896;poletne;14;241;majhna;9;43;Grcija
1900;poletne;24;997;majhna;19;85;Francija
1904;poletne;12;651;majhna;16;94;ZDA
1908;poletne;22;2008;majhna;22;110;Velika Britanija
1912;poletne;28;2406;majhna;14;102;Svedska
1920;poletne;29;2626;majhna;22;156;ZDA
1924;poletne;44;3089;majhna;17;126;ZDA
1924;zimske;16;258;majhna;6;16;Norveska
1928;poletne;46;2883;majhna;14;109;ZDA
1928;zimske;25;464;majhna;4;14;Norveska
1932;poletne;37;1332;majhna;14;117;ZDA
1932;zimske;17;252;majhna;4;14;ZDA
1936;poletne;49;3963;majhna;19;129;Nemcija
1936;zimske;28;646;majhna;4;17;Norveska
1948;poletne;59;4104;majhna;17;136;ZDA
1948;zimske;28;669;majhna;4;22;Norveska
1952;poletne;69;4955;srednja;17;149;ZDA
1952;zimske;30;694;majhna;4;22;Norveska
1956;poletne;72;3314;srednja;17;151;Sovjetska zveza
1956;zimske;32;821;majhna;4;24;Sovjetska zveza
1960;poletne;83;5388;srednja;17;150;Sovjetska zveza
1960;zimske;30;665;majhna;4;27;Sovjetska zveza
1964;poletne;93;5151;srednja;19;163;Sovjetska zveza
1964;zimske;36;1091;majhna;6;34;Sovjetska zveza
1968;poletne;112;5516;velika;18;172;ZDA
1968;zimske;37;1158;majhna;6;35;Norveska
1972;poletne;121;7170;velika;21;195;Sovjetska zveza
1972;zimske;35;1006;majhna;6;35;Sovjetska zveza
1976;poletne;92;6084;srednja;21;198;Sovjetska zveza
1976;zimske;37;1123;majhna;6;37;Sovjetska zveza
1980;poletne;80;5179;srednja;21;203;Sovjetska zveza
1980;zimske;37;1072;majhna;6;38;Vzhodna Nemcija
1984;poletne;140;6829;velika;21;221;ZDA
1984;zimske;49;1272;majhna;6;39;Sovjetska zveza
1988;poletne;160;8391;velika;23;237;Sovjetska zveza
1988;zimske;57;1423;majhna;6;46;Sovjetska zveza
1992;poletne;169;9356;velika;25;257;Unified Team
1992;zimske;64;1801;srednja;6;57;Nemcija
1994;zimske;67;1737;srednja;6;61;Norveska
1996;poletne;197;10320;velika;26;271;ZDA
1998;zimske;73;2176;srednja;7;68;Nemcija
2000;poletne;199;10651;velika;28;300;ZDA
2002;zimske;78;2399;srednja;7;78;Nemcija
2004;poletne;201;10625;velika;28;301;ZDA
2006;zimske;80;2508;srednja;7;84;Nemcija
2008;poletne;204;10942;velika;28;302;ZDA
2010;zimske;82;2566;srednja;7;86;ZDA
2012;poletne;204;10568;velika;26;302;ZDA
2014;zimske;88;2873;srednja;7;98;Rusija
2016;poletne;-;-;-;28;306;-
2018;zimske;-;-;-;7;98;-
